run_id,success,gens,evals,secs,fit,conflicts,colors_used,best_solution
86,1,0,200,0.00019979476928710938,0.0,0,4,"[2, 1, 3, 3, 4, 2]"
87,1,0,200,0.0001983642578125,0.0,0,4,"[2, 0, 2, 3, 4, 2]"
88,1,0,200,0.0001971721649169922,0.0,0,3,"[1, 4, 1, 4, 1, 3]"
89,1,0,200,0.000194549560546875,0.0,0,4,"[4, 1, 2, 0, 2, 0]"
90,1,0,200,0.00027942657470703125,0.0,0,4,"[3, 1, 2, 0, 2, 1]"
91,1,0,200,0.00033092498779296875,0.0,0,4,"[3, 0, 3, 0, 4, 2]"
92,1,0,200,0.0002739429473876953,0.0,0,4,"[2, 4, 0, 1, 0, 2]"
93,1,0,200,0.00019788742065429688,0.0,0,4,"[2, 4, 2, 0, 3, 4]"
94,1,0,200,0.0001995563507080078,0.0,0,5,"[0, 1, 2, 2, 4, 3]"
95,1,0,200,0.0005235671997070312,0.0,0,4,"[4, 3, 4, 1, 4, 0]"
96,1,0,200,0.0007023811340332031,0.0,0,5,"[1, 0, 2, 4, 3, 2]"
97,1,0,200,0.0002014636993408203,0.0,0,5,"[2, 3, 2, 1, 0, 4]"
98,1,0,200,0.00019979476928710938,0.0,0,5,"[2, 0, 4, 3, 1, 4]"
99,1,0,200,0.0001971721649169922,0.0,0,4,"[0, 4, 1, 2, 1, 2]"
