run_id,success,gens,secs,fit,conflicts,best_solution
0,1,82,0.19466710090637207,0,0,"[2, 4, 1, 7, 0, 6, 3, 5]"
1,1,176,0.44053220748901367,0,0,"[1, 6, 4, 7, 0, 3, 5, 2]"
2,1,92,0.2440657615661621,0,0,"[1, 3, 5, 7, 2, 0, 6, 4]"
3,1,5,0.015002250671386719,0,0,"[6, 2, 7, 1, 4, 0, 5, 3]"
4,1,69,0.18020939826965332,0,0,"[3, 5, 0, 4, 1, 7, 2, 6]"
5,1,5,0.020660877227783203,0,0,"[4, 7, 3, 0, 2, 5, 1, 6]"
6,1,74,0.19065022468566895,0,0,"[5, 0, 4, 1, 7, 2, 6, 3]"
7,1,65,0.14699506759643555,0,0,"[3, 7, 0, 2, 5, 1, 6, 4]"
8,1,24,0.05485248565673828,0,0,"[5, 7, 1, 3, 0, 6, 4, 2]"
9,1,48,0.1113734245300293,0,0,"[5, 3, 0, 4, 7, 1, 6, 2]"
10,1,10,0.025333166122436523,0,0,"[5, 3, 6, 0, 2, 4, 1, 7]"
11,1,15,0.03489542007446289,0,0,"[4, 0, 7, 3, 1, 6, 2, 5]"
12,1,35,0.08244705200195312,0,0,"[2, 7, 3, 6, 0, 5, 1, 4]"
13,1,16,0.04035592079162598,0,0,"[4, 1, 5, 0, 6, 3, 7, 2]"
14,1,29,0.08097314834594727,0,0,"[2, 5, 1, 6, 0, 3, 7, 4]"
15,1,235,0.5470688343048096,0,0,"[4, 0, 7, 3, 1, 6, 2, 5]"
16,1,162,0.3334321975708008,0,0,"[4, 6, 0, 2, 7, 5, 3, 1]"
17,1,18,0.04155421257019043,0,0,"[4, 1, 5, 0, 6, 3, 7, 2]"
18,1,23,0.05013298988342285,0,0,"[2, 5, 7, 0, 4, 6, 1, 3]"
19,1,4,0.01084136962890625,0,0,"[5, 2, 0, 6, 4, 7, 1, 3]"
20,1,19,0.043323516845703125,0,0,"[5, 2, 0, 7, 4, 1, 3, 6]"
21,1,56,0.1184530258178711,0,0,"[4, 6, 1, 5, 2, 0, 7, 3]"
22,1,29,0.06485199928283691,0,0,"[4, 6, 1, 5, 2, 0, 7, 3]"
23,1,32,0.07684493064880371,0,0,"[3, 5, 0, 4, 1, 7, 2, 6]"
24,1,57,0.1295328140258789,0,0,"[5, 0, 4, 1, 7, 2, 6, 3]"
25,1,48,0.10830831527709961,0,0,"[3, 6, 4, 1, 5, 0, 2, 7]"
26,1,31,0.06984877586364746,0,0,"[2, 4, 1, 7, 0, 6, 3, 5]"
